No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	1	220nF	C1	C2220	220nF	2220B224K631NT	FH(风华)	C3037693	LCSC
2	1	47uF	C2	CAP-TH_BD16.0-P7.50-D1.2-FD	47uF	EHF2GM470L20OT	AISHI(艾华集团)	C106410	LCSC
3	1	4.7nF	C3	C0603	4.7nF	CL10B472KB8NNNC	SAMSUNG(三星)	C1621	LCSC
4	1	1nF	C4	C0603	1nF	CL10B102KB8NNNC	SAMSUNG(三星)	C1588	LCSC
5	5	100nF	C5,C12,C13,C14,C15	C0603	100nF	CC0603KRX7R9BB104	YAGEO(国巨)	C14663	LCSC
6	1	4.7uF	C6	C1210	4.7uF	CL32B475KBUYNNE	SAMSUNG(三星)	C170099	LCSC
7	1	220pF	C7	C0603	220pF	CL10B221KB8NNNC	SAMSUNG(三星)	C1603	LCSC
8	1	10nF	C8	C0603	10nF	CL10B103KB8NNNC	SAMSUNG(三星)	C1589	LCSC
9	1	470uF	C9	CAP-TH_BD8.0-P3.50-D0.6-FD	470uF	ERF1EM471F12OT	AISHI(艾华集团)	C721169	LCSC
10	2	10uF	C10,C11	C0603	10uF	CL10A106MQ8NNNC	SAMSUNG(三星)	C1691	LCSC
11	5	CH5.08-2A	CN1,CN2,CN3,CN4,CN5	CONN-TH_CH5.08-2A		CH5.08-2A	BOOMELE(博穆精密)	C27692	LCSC
12	1	SBR2U30P1-7	D1	POWERDI-123_L2.8-W1.8-LS3.7-RD		SBR2U30P1-7	DIODES(美台)	C132285	LCSC
13	1	ES3D	D2	SMC_L7.2-W5.8-LS7.9-FD		ES3D	DIOTEC(德欧泰克)	C212743	LCSC
14	1	SMBJ110A	D3	SMB_L4.3-W3.6-LS5.4-RD		SMBJ110A	R+O(宏嘉诚)	C50325433	LCSC
15	1	MMSZ5250B-7-F	D4	SOD-123_L2.7-W1.6-LS3.7-RD-1		MMSZ5250B-7-F	DIODES(美台)	C212599	LCSC
16	1	2410 F15A/125V	F1	FUSE-SMD_L6.1-W2.5		2410 F15A/125V	JKSEMI(金开盛)	C5220751	LCSC
17	1	47uH	L1	IND-SMD_L7.5-W7.0_ETQP5M470YFM	47uH	ETQP5M470YFM	PANASONIC(松下)	C79130	LCSC
18	1	PJMD360N60EC_L2_00001	Q2	TO-252-2_L6.5-W5.6-P4.60-LS9.7-BR-2		PJMD360N60EC_L2_00001	PANJIT(强茂)	C5709283	LCSC
19	1	10kΩ	R1	R0603	10kΩ	FRC0603J103 TS	FOJAN(富捷)	C2930027	LCSC
20	1	3.3kΩ	R2	R0603	3.3kΩ	FRC0603J332 TS	FOJAN(富捷)	C2907140	LCSC
21	1	100kΩ	R3	R1206	100kΩ	RC1206FR-7W100KL	YAGEO(国巨)	C309584	LCSC
22	1	47kΩ	R4	R0603	47kΩ	FRC0603J473 TS	FOJAN(富捷)	C2907173	LCSC
23	2	2kΩ	R5,R6	R1206	2kΩ	HP06W2F2001T5E	UNI-ROYAL(厚声)	C414951	LCSC
24	1	1kΩ	R7	R0603	1kΩ	FRC0603F1001TS	FOJAN(富捷)	C2907002	LCSC
25	2	10Ω	R8,R12	R0603	10Ω	FRC0603J100 TS	FOJAN(富捷)	C2907091	LCSC
26	1	680Ω	R9	R0603	680Ω	FRC0603F6800TS	FOJAN(富捷)	C2907062	LCSC
27	1	38.3kΩ	R10	R0603	38.3kΩ	FRC0603F3832TS	FOJAN(富捷)	C2999480	LCSC
28	1	10kΩ	R11	R0603	10kΩ	FRC0603F1002TS	FOJAN(富捷)	C2906982	LCSC
29	1	UC3845BD1013TR	U1	SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL		UC3845BD1013TR	ST(意法半导体)	C7118	LCSC
30	1	LTV-356T-B	U2	OPTO-SMD_4P-L3.9-W4.4-P2.54-LS7.00-TL		LTV-356T-B	LITEON(光宝)	C10804	LCSC
31	1	TL431NSG-AE2-R	U3	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR		TL431NSG-AE2-R	UTC(友顺)	C7464727	LCSC
32	1	1935161	U5	CONN-TH_2P-P5.00_1935161		1935161	Phoenix Contact(菲尼克斯)	C3819953	LCSC
33	1	SMAJ12A	U6	SMA_L4.3-W2.5-LS5.0-RD		SMAJ12A	AM(安美)	C7466237	LCSC
